HScode,TradeValue,Description,hasGain,Tariff before CPTPP,Japan Rate for Canada TPP,ROC Gain - No Export Promotion,BC Gain - no export promotion,AB Gain - no export promotion,SK Gain - no export promotion,MB Gain - no export promotion,Western Canada Gain - no export promotion,Total Canada Gain - no export promotion,ROC Gain %,BC%,AB%,SK%,MB%,Western Canada Gain %,Total Canada Gain %
621020,139645,"Garments; overcoats, raincoats, car-coats, capes, cloaks and similar articles, men's or boys', of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)",TRUE,0.0955,1,0,88,,,,88,88,104.7,103.1,0,,,103,103
160300,147755,"Extracts and juices; of meat, fish or crustaceans, molluscs or other aquatic invertebrates",TRUE,0.108,1,78,,,,,,78,142.1,,0,,,0,142
611430,155297,"Garments; of man-made fibres, knitted or crocheted, n.e.c. in chapter 61",TRUE,0.081,1,116,134,3,,,137,253,85.6,92.1,86,,,92,89
090121,167829,"Coffee; roasted, not decaffeinated",TRUE,0.12,1,473,57,,,,57,530,57.2,57.2,0,,,57,57
030481,177215,"Fish fillets; frozen, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), Atlantic (Salmo salar), and Danube (Hucho hucho)",TRUE,0.035,1,,80,,,,80,80,0,14.7,0,,,15,15
160411,177637,"Fish preparations; salmon, prepared or preserved, whole or in pieces (but not minced)",TRUE,0.096,1,71,139,,,,139,210,44.1,44.2,0,,,44,44
610120,203472,"Coats; men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of cotton, knitted or crocheted (excluding those of heading no. 6103)",TRUE,0.109,1,65,152,,,,152,217,129.5,130.6,0,,,131,130
151590,213408,"Vegetable fats and oils and their fractions; fixed, n.e.c. in heading no. 1515, whether or not refined, but not chemically modified",TRUE,0.0169,1,3,7,5,7,12,31,35,11.7,11.7,12,11.6,11.6,12,12
030399,213555,"Fish; frozen, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",TRUE,0.0422,1,,5,,,,5,5,0,16.5,0,,,16,16
030822,214271,"Aquatic invertebrates; sea urchins (Strongylocentrotus spp., Paracentrotus lividus, Loxechinus albus, Echinus esculentus), frozen",TRUE,0.07,1,,19,,,,19,19,0,22.6,0,,,23,23
151499,215500,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, other than crude, but not chemically modified",TRUE,0.0479,1,6,137,,67,,204,210,30,21.7,0,27.2,,23,23
420292,220638,"Cases and containers; n.e.c. in heading 4202, with outer surface of sheeting of plastics or of textile materials",TRUE,0.08,1,84,178,1,,0,180,263,87.8,88.5,89,,88.5,88,88
151790,235702,"Edible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils of this chapter, other than edible fats or oils of heading no. 1516",TRUE,0.0792,1,1,112,,,,112,113,99.5,85.1,0,,,85,85
610443,245785,"Dresses; women's or girls', of synthetic fibres, knitted or crocheted",TRUE,0.109,1,100,0,,,,0,100,123,143.6,0,,,144,123
090921,247015,"Spices; coriander seeds, neither crushed nor ground",TRUE,0.03,1,26,0,,41,,41,67,17.8,20.3,0,20,,20,19
350790,254721,Enzymes and prepared enzymes; other than rennet and concentrates thereof,TRUE,0.039,1,1,40,,,,40,41,28.7,28.6,0,,,29,29
030541,261914,"Fish; smoked, whether or not cooked before or during smoking, salmon, Pacific (Oncorhynchus nerka, gorbuscha, keta, tschawytscha, kisutch, masou, rhodurus), Atlantic (Salmo salar) and Danube (Hucho hucho), includes fillets, but excludes edible fish offal",TRUE,0.105,1,12,74,,,,74,87,48.9,47.1,0,,,47,47
440810,263602,"Wood; coniferous, sheets for veneering (including those obtained by slicing laminated wood), for plywood or similar laminated wood and other wood, sawn lengthwise, sliced or peeled, planed or not, sanded, spliced or end-jointed, not over 6 mm thick",TRUE,0.044,1,6,81,,,,81,88,33.7,33.7,0,,,34,34
220110,277428,"Waters; mineral and aerated, including natural or artificial, (not containing added sugar or other sweetening matter nor flavoured)",TRUE,0.03,1,1,37,,,,37,38,7,7,0,,,7,7
030486,287447,"Fish fillets; frozen, herrings (Clupea harengus, Clupea pallasii)",TRUE,0.1,1,99,5,,,,5,103,44.6,36.7,0,,,37,44
350510,287814,Dextrins and other modified starches,TRUE,0.1405,1,295,0,,,,0,295,69,69.2,0,,,69,69
293499,298484,"Nucleic acids and their salts, other heterocyclic compounds, n.e.c. in heading number 2934",TRUE,0.0103,1,4,0,14,,,14,18,7,7,7,,,7,7
200811,302300,"Nuts; ground-nuts, whether or not containing added sugar, other sweetening matter or spirit",TRUE,0.1828,1,57,,,,,,57,95.6,,0,,,0,96
210610,314723,Protein; concentrates and textured protein substances,TRUE,0.6412,1.016,198,9,5,,839,853,1050,578.6,578.4,579,,538.2,539,546
130219,334475,Vegetable saps and extracts; n.e.c. in item no. 1302.1,TRUE,0.0481,1,109,12,1,0,5,18,127,20.6,20.6,21,20.6,20.1,20,21
030731,349549,"Molluscs; mussels (Mytilus spp., Perna spp.), whether in shell or not, live, fresh or chilled",TRUE,0.07,1,0,30,,,,30,30,18.1,17.6,0,,,18,18
420212,352256,"Cases and containers; trunks, suit-cases, vanity-cases, executive-cases, brief-cases, school satchels and similar containers, with outer surface of plastics or of textile materials",TRUE,0.0953,1,4185,1,0,0,,2,4187,96.2,110.1,108,109,,110,96
081120,358843,"Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter",TRUE,0.078,1,,141,,,,141,141,0,34.3,0,,,34,34
200899,404697,"Fruit, nuts and other edible parts of plants; prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit, n.e.c. in heading no. 2008",TRUE,0.1391,1,252,44,,,,44,296,68.3,68.3,0,,,68,68
151511,426624,"Vegetable oils; linseed oil and its fractions, crude, not chemically modified",TRUE,0.05,1,,4,17,17,,39,39,0,34.7,31,31,,31,31
200893,443900,"Fruit; cranberries (Vaccinium macrocarpon, Vaccinium oxycoccos, Vaccinium vitis-idaea), prepared or preserved, whether or not containing added sugar, other sweetening matter or spirit",TRUE,0.1852,1,234,58,,,,58,292,96.2,95.5,0,,,96,96
611011,446900,"Jerseys, pullovers, cardigans, waistcoats and similar articles; knitted or crocheted, of wool or fine animal hair",TRUE,0.109,1,16,650,,,,650,666,121.2,117.5,0,,,117,118
560210,458139,"Felt; needleloom felt and stitch-bonded fibre fabrics, whether or not impregnated, coated, covered or laminated",TRUE,0.056,1,5,89,,,,89,94,49.9,37.3,0,,,37,38
030617,470424,"Crustaceans; frozen, shrimps and prawns, excluding cold-water varieties, in shell or not, smoked, cooked or not before or during smoking; in shell, cooked by steaming or by boiling in water",TRUE,0.01,1,3,134,,,,134,137,4,4,0,,,4,4
610342,482204,"Trousers, bib and brace overalls, breeches and shorts; men's or boys', of cotton, knitted or crocheted",TRUE,0.109,1,64,137,,,,137,201,127.9,128.9,0,,,129,129
390120,489745,"Ethylene polymers; in primary forms, polyethylene having a specific gravity of 0.94 or more",TRUE,0.065,1,,,226,,,226,226,0,,51,,,51,51
100290,500644,"Cereals; rye, other than seed",TRUE,0.042,1,,,5,16,25,45,45,0,,11,11,11,11,11
620449,502048,"Dresses; women's or girls', of textile materials n.e.c. in item no. 6204.4 (not knitted or crocheted)",TRUE,0.0955,1,316,3,,,,3,319,94.5,98.3,0,,,98,95
030441,512223,"Fish fillets; fresh or chilled, salmon, Pacific (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic (Salmo salar), Danube (Hucho hucho)",TRUE,0.035,1,,217,,,,217,217,0,14.3,0,,,14,14
110412,539444,"Cereal grains; rolled or flaked, of oats",TRUE,0.12,1,,98,249,8,,354,354,0,55.4,56,56.8,,56,56
620192,550691,"Anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles; men's or boys', of cotton, other than those of heading no. 6203 (not knitted or crocheted)",TRUE,0.1095,1,32,52,,,,52,84,125,133,0,,,133,130
160100,551480,"Meat preparations; sausages and similar products, of meat, meat offal or blood, and food preparations based on these products",TRUE,0.1,1,158,85,265,,,350,507,130.7,130.5,130,,,130,130
621040,592096,"Garments; men's or boys', n.e.c. in item no. 6210.2, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)",TRUE,0.0955,1,125,390,,,,390,515,107.7,99.3,0,,,99,101
081040,630721,"Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh",TRUE,0.06,1,3,68,,,,68,71,24,24,0,,,24,24
610910,635492,"T-shirts, singlets and other vests; of cotton, knitted or crocheted",TRUE,0.0915,1,170,46,,,,46,216,101,100.5,0,,,100,101
070960,644299,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",TRUE,0.03,1,,22,,,,22,22,0,11.5,0,,,11,11
340399,660345,"Lubricating preparations; other than for the treatment of textile and similar materials, not containing petroleum oils or oils obtained from bituminous minerals",TRUE,0.031,1,26,81,11,,,92,118,22.3,21.1,22,,,21,21
282590,679245,"Inorganic bases, metal oxides, hydroxides and peroxides; n.e.c. in heading no. 2825",TRUE,0.011,1,,,,,42,42,42,0,,0,,5.9,6,6
780110,687511,"Lead; unwrought, refined",TRUE,0.0038,1,,53,,,,53,53,0,3.2,0,,,3,3
200520,693144,"Vegetable preparations; potatoes, prepared or preserved otherwise than by vinegar or acetic acid, not frozen",TRUE,0.1153,1,659,63,6,,,69,728,54.1,54.2,54,,,54,54
030339,727099,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",TRUE,0.035,1,0,139,,,,139,139,14.7,13.8,0,,,14,14
150420,727558,"Fats and oils and their fractions; of fish, (excluding liver-oils)",TRUE,0.07,1,13,150,,,,150,163,80.4,80.2,0,,,80,80
030213,752247,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, Oncorhynchus rhodurus), not fillets, meat of 0304, and edible fish offal of 0302.9",TRUE,0.035,1,,90,,,,90,90,0,8.7,0,,,9,9
621143,807120,"Track suits and other garments n.e.c.; women's or girls', of man-made fibres (not knitted or crocheted)",TRUE,0.1095,1,162,1,0,,,2,163,118.2,123.3,121,,,123,118
200989,840130,"Juice; of any single fruit or vegetable n.e.c. in heading no. 2009, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",TRUE,0.1512,1,403,84,,,,84,487,73.9,74,0,,,74,74
381400,880947,"Solvents and thinners; organic composite solvents and thinners, n.e.c. or included, prepared paint or varnish removers",TRUE,0.039,1,30,133,,,,133,164,28.4,25.3,0,,,25,26
071320,905425,"Vegetables, leguminous; chickpeas (garbanzos), shelled, whether or not skinned or split, dried",TRUE,0.0425,1,34,2,7,56,1,66,100,16.2,16.3,16,16.3,16.3,16,16
020220,925627,"Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",TRUE,0.385,1.09,809,6,530,,,536,1346,481.5,519.6,469,,,469,477
220421,932315,"Wine; still, in containers holding 2 litres or less",TRUE,0.1405,1,159,58,,,,58,217,35.3,35.3,0,,,35,35
630790,939031,"Textiles; made up articles (including dress patterns), n.e.c. in chapter 63, n.e.c. in heading no. 6307",TRUE,0.053,1,104,31,0,,,31,135,48.2,50.5,49,,,51,49
200819,1065988,"Nuts and other seeds; whether or not containing added sugar, other sweetening matter or spirit (excluding ground-nuts except in mixtures)",TRUE,0.1035,1,144,,,35,,35,179,48.2,,0,48,,48,48
441899,1110301,"Wood; builders' joinery and carpentry of wood n.e.c. in heading no. 4418, other than of bamboo",TRUE,0.0317,1,204,342,84,,,426,630,23.3,23,23,,,23,23
620113,1341756,"Coats; men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of man-made fibres, other than those of heading no. 6203 (not knitted or crocheted)",TRUE,0.1095,1,71,20,,,,20,90,125.1,133.2,0,,,133,127
390190,1553559,"Ethylene polymers; in primary forms, n.e.c. in heading no. 3901",TRUE,0.028,1,313,,906,,,906,1219,19.8,,20,,,20,20
382100,1643222,"Prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells",TRUE,0.025,1,0,49,0,,,49,49,17.7,17.4,18,,,17,17
051199,1848988,Animal products; n.e.c. in chapter 5,TRUE,0.0083,1,13,8,1,,,9,22,2.2,2.2,2,,,2,2
440799,1996946,"Wood; sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6mm, whether or not planed, sanded or finger-jointed, n.e.c. in heading no. 4407",TRUE,0.024,1,640,94,,,,94,734,16.8,16.8,0,,,17,17
020322,2088728,"Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen",TRUE,0.5167,1,13575,599,7235,,2010,9844,23419,525.5,498.9,429,,526.4,450,491
761699,2211162,Aluminium; articles n.e.c. in heading 7616,TRUE,0.03,1,44,285,2,,87,373,417,24.8,24.5,25,,24.7,25,25
151519,2211731,"Vegetable oils; linseed oil and its fractions, other than crude, whether or not refined, but not chemically modified",TRUE,0.05,1,,131,2,100,254,487,487,0,28.7,33,31.3,19.8,24,24
030311,2309009,"Fish; frozen, Pacific salmon, sockeye salmon (red salmon) (Oncorhynchus nerka), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99",TRUE,0.035,1,,827,,,,827,827,0,13.9,0,,,14,14
210330,2383111,Mustard flour and meal and prepared mustard,TRUE,0.0825,1,204,2,577,,1,580,785,36.3,36.5,32,,36.4,32,33
271019,2434067,"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; not light oils and preparations",TRUE,0.0152,1,88,1,667,,,668,756,6.5,6.5,7,,,7,7
392590,2552702,"Plastics; builders' ware, n.e.c. or included in heading no. 3925",TRUE,0.039,1,271,4,4,,41,50,321,28.6,28.7,29,,28.1,28,29
210390,2630264,Sauces and preparations therefor; mixed condiments and mixed seasonings,TRUE,0.0963,1,219,121,,,,121,340,43.9,44.1,0,,,44,44
630900,2760716,"Clothing; worn, and other worn articles",TRUE,0.058,1,912,86,,,,86,998,51.3,51.7,0,,,52,51
293299,3393172,"Heterocyclic compounds; with oxygen hetero-atom(s) only, no lactones or unfused furan rings (hydrogenated or not) in the structure, other than isosafrole, 1-(1,3-benzodiaxol-5-yl) propan-2-one, piperonal, safrole, tetrahydrocannabinols (all isomers)",TRUE,0.031,1,3,433,,,,433,436,22.2,20.3,0,,,20,20
151491,3738042,"Vegetable oils; excluding low erucic acid rape or colza oil and its fractions, crude",TRUE,0.073,1,8,267,,183,,450,457,49.3,40.1,0,50.3,,44,44
070200,4098675,"Vegetables; tomatoes, fresh or chilled",TRUE,0.03,1,139,134,,,,134,274,11.4,11.3,0,,,11,11
