HS2,HS4,HS6,description
08,0811,081190,*Frozen fruit and nuts
62,6211,621133,Men's  tracksuits of man-made fibres
76,7616,761699,Aluminium articles
20,2008,200819,"*Nuts, prepared or preserved"
19,1905,190532,*Waffles and wafers
15,1506,150600,*Other animal fats
39,3901,390120,"Polyethylene specific gravity  >= 0,94"
20,2005,200520,"*Potatoes, prepared or preserved "
15,1515,151590,*Fixed vegetable fats and oils
62,6201,620113,"Men's overcoats, man-made fibres"
02,0207,020742,*Frozen domestic ducks
64,6404,640419,"Rubber soled footwear, plastic uppers"
44,4418,441890,Builders' wood joinery and carpentry (excl. windows etc.)
20,2007,200799,"*Jams, jellies, marmalades, etc"
61,6104,610443,Women's synthetic dresses
21,2103,210390,*Sauces and prepared sauces
23,2309,230990,*Animal feed
62,6202,620213,Women's raincoats
15,1517,151710,*Margarine
64,6401,640192,Waterproof footwear
63,6309,630900,"Worn clothing, blankets, rugs"
39,3925,392590,"Building elements for floors, walls, etc"
15,1513,151319,*Coconut oil
44,4410,441012,"Oriented strand board ""OSB"", of wood"
62,6201,620193,Men's windbreakers
61,6101,610120,"Overcoats. ski jackets, windbreakers"
62,6202,620293,Women's windbreakers
15,1514,151419,Canola oil erucic acid < 2%
61,6114,611430,"Professional, sporting garments"
96,9617,961700,Vacuum flasks and other vacuum vessels (excl. glass inners)
44,4407,440710,"Coniferous wood sawn or chipped lengthwise, sliced or peeled"
61,6109,610990,Non-cotton T-shirts
33,3307,330749,Room pefume
19,1905,190590,"*Bread, pastry, cakes"
63,6307,630790,Dress patterns
44,4407,440799,Wood sawn lengthwise
62,6203,620342,Men's cotton trousers
61,6109,610910,"T-shirts, cotton"
39,3926,392690,Plastics 3901-3914
61,6103,610342,Men's  trousers
61,6110,611030,Sweaters of man-made fibres
61,6110,611020,Cotton sweaters
15,1517,151790,*Preparations of animal or vegetable fats or oils
22,2201,220110,Mineral waters annot containing added sugar
42,4202,420292,"Shopping, beverage bags,  rucksacks"
03,0303,030389,Frozen fish
03,0306,030617,Frozen shrimps and prawns
