HS6,description,rate_for_canada_TPP,rate_for_china,rate_for_EU28 ,rate_for_USA_OLD,rate_for_ROW
441239,Plywood <= 6 mm thick,1,1.06,1.06,1.06,1.06
200899,*Preserved fruit,1,1.0874,1.1391,1.1391,1.1391
350510,Dextrins and other modified starches,1,1.0281,1.1405,1.1405,1.1405
200893,*Cranberries,1,1.1715,1.1852,1.1852,1.1852
70200,"Tomatoes, fresh or chilled",1,1.03,1.03,1.03,1.03
420292,"Shopping, beverage bags,  rucksacks",1,1.08,1.08,1.08,1.08
611430,"Professional, sporting garments",1,1.081,1.081,1.081,1.081
420310,Leather apparel ,1,1.13,1.13,1.13,1.13
390120,"Polyethylene specific gravity  >= 0,94",1,1.013,1.065,1.065,1.065
30441,Fresh / chilled Pacific salmon fillets,1,1.035,1.035,1.035,1.035
610120,"Overcoats. ski jackets, windbreakers",1,1.109,1.109,1.109,1.109
220421,"*Wine, fermentation arrested ...",1,1.1405,1.1405,1.1405,1.1405
610910,"T-shirts, cotton",1,1.0915,1.0915,1.0915,1.0915
71159,Mushrooms preserved,1,1.09,1.09,1.09,1.09
151499,*Canola oil erucic acid >= 2%,1,1.0479,1.0479,1.0479,1.0479
160411,Prepared / preserved salmon,1,1.084,1.096,1.096,1.096
230990,*Animal feed,1,1,1.0208,1.0208,1.0208
610342,Men's  trousers,1,1.109,1.109,1.109,1.109
430310,Furskin apparel,1,1.2,1.2,1.2,1.2
410190,Split raw hides,1,1.1,1.1,1.1,1.1
200819,"*Nuts, prepared or preserved",1,1.0566,1.1035,1.1035,1.1035
30341,Frozen albacore / longfinned tunas,1,1.035,1.035,1.035,1.035
640192,Waterproof footwear,1,1.1685,1.1685,1.1685,1.1685
381400,Organic composite solvents,1,1,1.039,1.039,1.039
621143,Women's tracksuits,1,1.1095,1.1095,1.1095,1.1095
150420,Fats and fish oils,1,1.07,1.07,1.07,1.07
151211,*Crude sunflower oil,1,1.0391,1.0391,1.0391,1.0391
611030,Sweaters of man-made fibres,1,1.1045,1.1045,1.1045,1.1045
81120,"*Frozen raspberries, blackberries, etc",1,1.039,1.078,1.078,1.078
30339,Frozen flat fish,1,1.035,1.035,1.035,1.035
30617,Frozen shrimps and prawns,1,1.01,1.01,1.01,1.01
170410,*Chewing gum,1,1.24,1.24,1.24,1.24
630790,Dress patterns,1,1.0094,1.053,1.053,1.053
30363,Frozen cod,1,1.06,1.06,1.06,1.06
130219,*Vegetable saps,1,1.0481,1.0481,1.0481,1.0481
200799,"*Jams, jellies, marmalades, etc",1,1.2103,1.2103,1.2103,1.2103
621133,Men's  tracksuits of man-made fibres,1,1.1095,1.1095,1.1095,1.1095
340399,Anti-rust lubricant preparations,1,1,1.031,1.031,1.031
151790,*Preparations of animal or vegetable fats or oils,1,1.0685,1.0792,1.0792,1.0792
